incubation_day,days,simple_sentence,compound_sentence,paper_title,sha,publish_time,journal,url
7.0,"[(' 7 days', '')]",the latest guidelines from chinese health authorities stated an average incubation duration of 7 days,"the latest guidelines from chinese health authorities stated an average incubation duration of 7 days, ranging from 2 to 14 days [23] .",,421838e663f2a0247293270c60d87c535c961068,2020-03-17,Infect Dis Poverty,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7079521/
5.2,"[(' 5.2 days', '.2')]",which calculated the mean incubation period of covid-19 to be 5.2 days.,"15 , which calculated the mean incubation period of covid-19 to be 5.2 days.","Cell Discovery Phase-adjusted estimation of the number of Coronavirus Disease 2019 cases in Wuhan, China",6abb30ae61aa5e41f16a28b9437940d5d76d745b,2020,Cell Discovery,https://doi.org/10.1038/s41421-020-0148-0
6.4,"[(' 6.4 days', '.4')]","
current estimates suggest a mean incubation period of 6.4 days (95% credible interval: 5.6-7.7)","
current estimates suggest a mean incubation period of 6.4 days (95% credible interval: 5.6-7.7), with a range from 2.1 to 11.1 days (2.5th to 97.5th percentile) [19] .",Outbreak of Novel Coronavirus (SARS-Cov-2): First Evidences From International Scientific Literature and Pending Questions,7b7c71218f8d7ea1a1f8f702e4262b839bf7cc8a,2020,Healthcare (Basel),https://doi.org/10.3390/healthcare8010051
4.6,"[(' 4.6 days', '.6'), (' 8 days', '')]",the mean incubation period was estimated as 4.6 days with a range of 2 to 8 days between symptom onset and hospitalization.,the mean incubation period was estimated as 4.6 days with a range of 2 to 8 days between symptom onset and hospitalization.,"Outbreak 2019-nCoV (Wuhan virus), a novel Coronavirus: human-to-human transmission, travel-related cases, and vaccine readiness",7e8409337e69a72191475029805c6776ad43b60b,2020,Journal of Infection in Developing Countries,https://doi.org/10.3855/jidc.12425
5.2,"[(' 5.2 days', '.2')]",and the mean incubation period has been estimated at 5.2 days (95% ci: 4.1 -7.0 days) 4 .,"first, there is potential transmission during virus incubation period, i.e., transmission before onset of symptoms when people typically will not enter treatment regimen, and the mean incubation period has been estimated at 5.2 days (95% ci: 4.1 -7.0 days) 4 .",Revista da Sociedade Brasileira de Medicina Tropical The value of mitigating epidemic peaks of COVID-19 for more effective public health responses,84398c07143ac22476b0444c7b90cf5e8917c1c1,2020-03-23,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7094046/
5.0,"[(' 5 days', '')]",considering that the mean incubation period of covid-19 approximately is 5 days,"considering that the mean incubation period of covid-19 approximately is 5 days, the impact of reduced travel volumes would start to be interpretable from day 58 (28 january 2020).",Clinical Medicine Assessing the Impact of Reduced Travel on Exportation Dynamics of Novel Coronavirus Infection (COVID-19),a6ce4ce12c7af1cfb4d71764b963285b687e6b51,2020-02-24,J Clin Med,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7073579/
5.5,"[(' 5.5 days', '.5')]","
best estimate (used in figure 2 ) plausible range (used in figure 3 )

mean incubation period 5.5 days sensitivity: 4.5 or 6.5 clinical data: 83% fever","
best estimate (used in figure 2 ) plausible range (used in figure 3 )

mean incubation period 5.5 days sensitivity: 4.5 or 6.5 clinical data: 83% fever, 67% cough, n = 6 (chan et al., 2020) 83% fever, 82% cough, n = 99 98% fever, 76% cough, n = 41 43.8% fever at hospital admission, 88.7% fever during hospitalization, n = 1099 active monitoring after repatriation flights or on cruise ships: % asymptomatic at diagnosis 31.2% (111/355) (japan ministry of health, labor and welfare, 2020) 65.2% (5 of 8) (nishiura et al., 2020) 70.0% (7 of 10) 

we assume a low percentage, as no specific risk factors have been identified, and known times or sources of exposure are rarely reported in existing line lists.",Estimated effectiveness of symptom and risk screening to prevent the spread of COVID-19,d2ffa88280050fc186dd63918d295efe423582e6,2020-02-24,eLife,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7060038/
5.2,"[(' 5.2 days', '.2')]",the male-to-female ratio is about 2.7:1 [38] and the average incubation period is 5.2 days [42] .,the male-to-female ratio is about 2.7:1 [38] and the average incubation period is 5.2 days [42] .,Systematic Comparison of Two Animal-to-Human Transmitted Human Coronaviruses: SARS-CoV-2 and SARS-CoV,f294f0df7468a8ac9e27776cc15fa20297a9f040,2020,Viruses,https://doi.org/10.3390/v12020244
5.1,"[(' 5.1 days', '.1'), (' 5.5 days', '.5')]","the median incubation period for covid-19 is approximately 5.1 days (mean 5.5 days)

• in 97.5% of infected persons","
• generally, the median incubation period for covid-19 is approximately 5.1 days (mean 5.5 days)

• in 97.5% of infected persons, symptoms appear within 12 days [28] • screening for a travel history of 14 days and current symptoms will catch the majority of covid-19 patients

• however, emerging evidence suggests that a proportion of viral transmission could occur before symptom onset [29] [30] [31] • some small studies suggested that asymptomatic viral carriers may be infectious for up to three weeks [29] 10.",,0775644af19e13cb5a4214be4db3f8ad75acd2d4,2020-04-01,Journal of Medical Imaging and Radiation Sciences,https://doi.org/10.1016/j.jmir.2020.03.004
5.2,"[(' 5.2 days', '.2')]",the mean incubation period was estimated to be 5.2 days [1] ,"the mean incubation period was estimated to be 5.2 days [1] , therefore real associations appeared after most infected cases out from wuhan presented typical symptoms and were diagnosed [4] .",Journal Pre-proof Spatial transmission of COVID-19 via public and private transportation in China Spatial transmission of COVID-19 via public and private transportation in China,093daa3ff0fb6f613aa0dff9edd31e530f1ebc52,2020-03-14,Travel Medicine and Infectious Disease,https://doi.org/10.1016/j.tmaid.2020.101626
5.2,"[(' 5.2 days', '.2')]",and the mean incubation period was 5.2 days.,"besides, 56% of patients were male, and the mean incubation period was 5.2 days.",COVID-19: Zoonotic aspects Fig. 1. Potential transmission cycles of SARS-CoV2 (formerly 2019nCoV). Travel Medicine and Infectious Disease xxx (xxxx) xxxx,1a2c79e2b65d28508db35b7b72eb7c2edfed8ef0,2020-02-27,Travel Medicine and Infectious Disease,https://doi.org/10.1016/j.tmaid.2020.101607
3.0,"[(' 3.0 days', '.0')]",the mean incubation time was 3.0 days (range: 0-24.0 days).,the mean incubation time was 3.0 days (range: 0-24.0 days).,,37ff5f4e6ce52e31fefd764ae0da2cf5280c8bbf,2020-02-25,Journal of Infection,https://doi.org/10.1016/j.jinf.2020.02.010
5.2,"[(' 5.2 days', '.2'), (' 14 days', '')]",6 the mean incubation period is 5.2 days (95% ci 4.1-7.0) but can range from 2 to 14 days.,"4, 6 the mean incubation period is 5.2 days (95% ci 4.1-7.0) but can range from 2 to 14 days.",Journal Pre-proof Coronavirus Disease (COVID-19): A primer for emergency physicians Title: Coronavirus Disease (COVID-19): A Primer for Emergency Physicians,4040d093ccf2205167af489e11a3a3157179b788,2020-03-24,The American Journal of Emergency Medicine,https://doi.org/10.1016/j.ajem.2020.03.036
5.2,"[(' 5.2 days', '.2')]",the first prediction of mean incubation period was 5.2 days (95%ci,"the first prediction of mean incubation period was 5.2 days (95%ci, 4.1-7.0 days), with the 95th percentile of the distribution at 12.5 days, based on 2019-ncov exposure histories of the first 425 cases in wuhan .",Journal Pre-proof Insight into 2019 novel coronavirus -an updated intrim review and lessons from SARS-CoV and MERS-CoV Insight into 2019 novel coronavirus -an updated intrim review and lessons from SARS-CoV and MERS-CoV,4bc41aaa2b754b3ec526eb40c384a18ab38b8d51,2020-04-01,International Journal of Infectious Diseases,https://doi.org/10.1016/j.ijid.2020.03.071
5.2,"[(' 5.2 days', '.2')]",since 2019-ncov has an incubation period of 5.3e19 days (average of 5.2 days) [33] ,"since 2019-ncov has an incubation period of 5.3e19 days (average of 5.2 days) [33] , the effects of international traffic control measures in 2020 need to be further observed.",Lessons learned from the 2019-nCoV epidemic on prevention of future infectious diseases,50765f980de37a832825bd81ad612e3afc75258b,2020-03-31,Microbes and Infection,https://doi.org/10.1016/j.micinf.2020.02.004
5.2,"[(' 5.2 days', '.2')]","
early transmission dynamics of covid-19 reveal that the mean incubation period was 5.2 days (95% ci","
early transmission dynamics of covid-19 reveal that the mean incubation period was 5.2 days (95% ci, 4.1 to 7.0), with the 95th percentile of the distribution at 12.5 days [7] .","The epidemiology, diagnosis and treatment of COVID-19",51cf515868c3f98cacf6c8fe12625714b3483331,2020-03-28,International Journal of Antimicrobial Agents,https://doi.org/10.1016/j.ijantimicag.2020.105955
5.2,"[(' 5.2 days', '.2'), (' 14 days', '')]",[6] [7] [8] the incubation period for sars-cov-2 appears to average 5.2 days but may range from 2 to 14 days and potential asymptomatic infection has been reported.,[6] [7] [8] the incubation period for sars-cov-2 appears to average 5.2 days but may range from 2 to 14 days and potential asymptomatic infection has been reported.,Journal Pre-proof What Should Gastroenterologists and Patients Know About COVID-19?,57e5dbed53a99d2c2d0e5cccc22c7689a58c5557,2020-03-18,Clinical Gastroenterology and Hepatology,https://doi.org/10.1016/j.cgh.2020.03.020
5.2,"[(' 5.2 days', '.2'), (' 14 days', '')]",covid-19 has been shown to have a mean incubation period of 5.2 days and a median duration from the onset of symptoms to death of 14 days [22,"to date, covid-19 has been shown to have a mean incubation period of 5.2 days and a median duration from the onset of symptoms to death of 14 days [22, 39] , which is comparable to that of mers [40] .",,5cb5e6a2d2fb1eb4ab85598211846a7061b24e92,2020-04-30,International Journal of Surgery,https://doi.org/10.1016/j.ijsu.2020.02.034
6.0,"[(' 6 days', '')]",and found that when the average incubation period was set to 6 days,"we simulated the days in the range of 3e9 respectively, and found that when the average incubation period was set to 6 days, it could better fit the official curve, while the other simulated values are quite different from the official curves.",-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/),709550d8a8d3710be58502c6a298a95b14ef1f3c,2020-12-31,Infectious Disease Modelling,https://doi.org/10.1016/j.idm.2020.03.002
5.0,"[(' 5 days', '')]","
with an incubation time of 5 days on average","
with an incubation time of 5 days on average, 15 initial recommendations for quarantine of exposed healthcare workers were up to 2 weeks; 16 importantly, asymptomatic healthcare workers with low risk exposures, such as encounters that occur when the healthcare provider is wearing appropriate ppe, are not instructed to selfquarantine but rather recommended to intensively monitor.",Journal Pre-proof Hemodialysis and COVID-19: An Achilles' Heel in the Pandemic Healthcare Response in the United States,72522787120eb827ec5906286046ef971708032b,2020-03-31,Kidney Medicine,https://doi.org/10.1016/j.xkme.2020.03.004
5.0,"[(' 5 days', '')]",the mean incubation period of covid-19 is about 5 days,"after exposure to an infected individual, or less likely a contaminated surface or fomite, the mean incubation period of covid-19 is about 5 days, but can be much longer, up to 24 days.",Journal Pre-proof The COVID-19 pandemic: Implications for the cytology laboratory Title: The COVID-19 pandemic: Implications for the cytology laboratory,788c83e7ccca711b4f7da85aa2ed5ea69af268e9,2020-03-26,Journal of the American Society of Cytopathology,https://doi.org/10.1016/j.jasc.2020.03.001
6.4,"[(' 6.4 days', '.4')]",compared to the mean incubation period of 6.4 days of sars [3] ,"compared to the mean incubation period of 6.4 days of sars [3] , the 5.2 days of the 2019 new coronavirus (sars-cov-2) means it is more infectious [1] .",The Risk and Prevention of Novel Coronavirus Pneumonia Infections Among Inpatients in Psychiatric Hospitals,83dbefe76e95b17d41f3779bede6079ef2ba432a,2020-02-25,Neurosci Bull,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7056754/
10.0,"[(' 10 days', '')]",the incubation lasts for an average of 10 days (in a reported range of 2e14 days) from infection to symptoms surfacing [2,"on the contrary, for 2019-ncov, the incubation lasts for an average of 10 days (in a reported range of 2e14 days) from infection to symptoms surfacing [2, 4, 17, 20] .",The epidemic of 2019-novel-coronavirus (2019-nCoV) pneumonia and insights for emerging infectious diseases in the future,8699664d8100af1e701e25daeb8a4fced18a3daf,2020-03-31,Microbes and Infection,https://doi.org/10.1016/j.micinf.2020.02.002
5.2,"[(' 5.2 days', '.2')]",instructed that the mean incubation period was 5.2 days (95% confidence interval [ci],"and li et al, with 425 confirmed cases, instructed that the mean incubation period was 5.2 days (95% confidence interval [ci], 4.1 to 7.0), with the 95th percentile of the distribution at 12.5 days.",Journal Pre-proof The SARS-CoV-2 outbreak: what we know The SARS-CoV-2 Outbreak: What We Know,8ab598acacefc034a59ae01580fdf29bcf853234,2020-03-12,International Journal of Infectious Diseases,https://doi.org/10.1016/j.ijid.2020.03.004
6.4,"[(' 6.4 days', '.4')]",the average incubation period of the disease was found to be 6.4 days [5] .,the average incubation period of the disease was found to be 6.4 days [5] .,CT manifestations of coronavirus disease-2019: A retrospective analysis of 73 cases by disease severity,980a8d0a6a71b5a4838951f309521d4aedb21b90,2020-05-31,European Journal of Radiology,https://doi.org/10.1016/j.ejrad.2020.108941
7.0,"[(' 7 days', '')]",5 it is generally believed that the incubation period is between 3 and 7 days on average,"5 it is generally believed that the incubation period is between 3 and 7 days on average, with 1 day as the shortest and 14 days longest.","Clinical characteristics of novel coronavirus disease 2019 (COVID-19) in newborns, infants and children",9ad6d6771a95690bbec0723775f3106d1e5eb93e,2020-03-10,Pediatrics & Neonatology,https://doi.org/10.1016/j.pedneo.2020.03.001
6.4,"[(' 6.4 days', '.4')]",the current estimate of the mean incubation period for covid-19 is 6.4 days,"the current estimate of the mean incubation period for covid-19 is 6.4 days, ranging from 2.1 days to 11.1 days (2.5th to 97.5th percentile) [30] , with potential asymptomatic transmission.",,a006cb9a90f0625f548c5775891d395860c81c75,2020-03-31,International Journal of Antimicrobial Agents,https://doi.org/10.1016/j.ijantimicag.2020.105924
6.0,"[(' 6 days', '')]",4 we assumed that the incubation period of 2019-ncov was similar to that of sars-cov and mers-cov (mean 6 days; table 1).,4 we assumed that the incubation period of 2019-ncov was similar to that of sars-cov and mers-cov (mean 6 days; table 1).,"Nowcasting and forecasting the potential domestic and international spread of the 2019-nCoV outbreak originating in Wuhan, China: a modelling study",a99b24730ab1768a968a582caa998ab84b96f007,2020-03-06,The Lancet,https://doi.org/10.1016/s0140-6736(20)30260-9
5.2,"[(' 5.2 days', '.2')]",and that the mean incubation period was 5.2 days.,"
analyzed the clinical characteristics of 138 hospitalized covid-19 patients and reported that fever, fatigue, and dry cough were the most common symptoms 12 , and that the mean incubation period was 5.2 days.","Journal Pre-proof Comparison of Hospitalized Patients with Acute Respiratory Distress Syndrome Caused by COVID-19 and H1N1 Word count: main text 2,953 words; abstract 294 words Comparison of Hospitalized Patients with Acute Respiratory Distress Syndrome Caused by COVID-19 and H1N1 Running head: Comparison of COVID-19 and H1N1",c3a837eaa9b8212fe4a2d08a3635ec35c667d7b0,2020-03-26,Chest,https://doi.org/10.1016/j.chest.2020.03.032
6.4,"[(' 6.4 days', '.4')]",indicated a mean incubation period of 6.4 days (95% ci,"an early analysis based on 88 confirmed cases in chinese provinces outside wuhan, using data on known travel to and from wuhan to estimate the exposure interval, indicated a mean incubation period of 6.4 days (95% ci, 5.6 to 7.7 days), with a range of 2.1 to 11.1 days (7) .",The Incubation Period of Coronavirus Disease 2019 (COVID-19) From Publicly Reported Confirmed Cases: Estimation and Application,ce8609a60724d457d5b5916d57a31dea0ffb831b,2020-03-10,Ann Intern Med,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7081172/
21.0,"[(' 21 days', '')]",the average incubation period is between 2 and 21 days,"for example, for the ebola virus, the average incubation period is between 2 and 21 days, and an individual diagnosed with the ebola virus does not spread the virus to others during this period.",True epidemic growth construction through harmonic analysis,d47a414a273884b7b4f34c9d1bdde47bae1911e2,2020-06-07,Journal of Theoretical Biology,https://doi.org/10.1016/j.jtbi.2020.110243
5.0,"[(' 5 days', '')]",10 the average incubation period is 5 days,"10 the average incubation period is 5 days, but it ranges from 1 to 14 days.",Outbreak of a new coronavirus: what anaesthetists should know Advance Access Publication Date: xxx Editorial,d69fafa5d266102bd2666aac853ef94472ba0a8e,2020-02-27,British Journal of Anaesthesia,https://doi.org/10.1016/j.bja.2020.02.008
3.0,"[(' 3 days', ''), (' 7 days', '')]",we assumed the mean incubation period and mean infectious period to be 6·4 days 16 and 3 days or 7 days,"we assumed the mean incubation period and mean infectious period to be 6·4 days 16 and 3 days or 7 days, 22 respectively.","Articles The effect of control strategies to reduce social mixing on outcomes of the COVID-19 epidemic in Wuhan, China: a modelling study",df97f804b68dcf16ffcc3c2c0894528d6d0c7ff2,2020-03-25,The Lancet Public Health,https://doi.org/10.1016/s2468-2667(20)30073-6
5.0,"[(' 5 days', '')]",the average incubation period was 5 days (range 2-9 days).,the average incubation period was 5 days (range 2-9 days).,"Clinical features and obstetric and neonatal outcomes of pregnant patients with COVID-19 in Wuhan, China: a retrospective, single-centre, descriptive study",f5cce8a5be5bc7be7a749a51ce8f71add6e5d08f,2020-03-24,The Lancet Infectious Diseases,https://doi.org/10.1016/s1473-3099(20)30176-6
5.2,"[(' 5.2 days', '.2')]",the mean incubation period is estimated to be 5.2 days,"the mean incubation period is estimated to be 5.2 days, which allows air travelers to spread the disease globally [4] .",Coronavirus (COVID-19) Outbreak: What the Department of Radiology Should Know,fe297e7210ed7586d1d84f774ca15a60b5e70173,2020-02-19,Journal of the American College of Radiology,https://doi.org/10.1016/j.jacr.2020.02.008
7.0,"[(' 7 days', '')]","the mean incubation time appears to be between 4.75 and 7 days 20,23,24,26,28 ","the mean incubation time appears to be between 4.75 and 7 days 20,23,24,26,28 , ranging from 3 days to an upper limit of around 11-14 days.",COVID-19: a novel zoonotic disease caused by a coronavirus from China: what we know and what we don't,944e56214690e886e944d9ffed7c836adf062625,2020-03-17,Microbiol Aust,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7086482/
5.2,"[(' 5.2 days', '.2')]","
covid-19 has a mean incubation period of 5.2 days (95% confidence interval","
covid-19 has a mean incubation period of 5.2 days (95% confidence interval, 4.1-7.0).",The outbreak of COVID-19: An overview,9ec258353291e981ef7eeb36111794c40b15c752,2020,Journal of the Chinese Medical Association : JCMA,https://doi.org/10.1097/jcma.0000000000000270
